original_step_uid,sub_step_uid,case_external_id,original_step_number,sub_step_index,sub_action_text,sub_expected_text,alignment_mode,original_mapping_status,mapped_keyword_id,mapping_confidence,mapping_notes,mapping_status,canonical_action,element_alias,android_locator_by,android_locator_value,ios_locator_by,ios_locator_value
CCU-231098-1,CCU-231098-1-S1,CCU-231098,1,1,點擊允許,進入下一步,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,permission_allow_button,pending,pending,pending,pending
CCU-231099-1,CCU-231099-1-S1,CCU-231099,1,1,點擊拒絕,進入下一步,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,permission_deny_button,pending,pending,pending,pending
CCU-231100-1,CCU-231100-1-S1,CCU-231100,1,1,點擊使用應用程式時,進入下一步,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,permission_allow_button,pending,pending,pending,pending
CCU-231101-1,CCU-231101-1-S1,CCU-231101,1,1,點擊僅允許這一次,進入下一步,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,permission_allow_button,pending,pending,pending,pending
CCU-231102-1,CCU-231102-1-S1,CCU-231102,1,1,點擊不允許,進入下一步,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,permission_allow_button,pending,pending,pending,pending
CCU-231103-1,CCU-231103-1-S1,CCU-231103,1,1,點擊允許,進入下一步,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,permission_allow_button,pending,pending,pending,pending
CCU-231104-1,CCU-231104-1-S1,CCU-231104,1,1,點擊不允許,進入下一步,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,permission_allow_button,pending,pending,pending,pending
CCU-231105-1,CCU-231105-1-S1,CCU-231105,1,1,查看 APP,出現隱私權政策,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-231106-1,CCU-231106-1-S1,CCU-231106,1,1,點擊 APP 隱私權政策 的 Privacy Policy,隱私權政策 有可以點擊的 Privacy Policy,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-231107-1,CCU-231107-1-S1,CCU-231107,1,1,查看 APP,進入隱私權政策顯示內文,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-231108-1,CCU-231108-1-S1,CCU-231108,1,1,查看 APP 左上角,有返回鍵,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,navigate,back_button,pending,pending,pending,pending
CCU-231109-1,CCU-231109-1-S1,CCU-231109,1,1,查看 APP 下方是否有 AGREE 按鈕,有 AGREE 按鈕,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,agree_button,pending,pending,pending,pending
CCU-231109-1,CCU-231109-1-S2,CCU-231109,1,2,查看 APP 下方是否有 AGREE 按鈕,可以按,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,agree_button,pending,pending,pending,pending
CCU-231110-1,CCU-231110-1-S1,CCU-231110,1,1,查看 APP,出現 press bluetooth button to start connecting your,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-231111-1,CCU-231111-1-S1,CCU-231111,1,1,點擊面板藍牙按鈕,APP 顯示 ID,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
